KCLANPO23N000000726,장소,관광지,7231199,함덕해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,조천읍,함덕리,산13,5011025924,5011025900,,,,126.6706558,33.54378046,다다230060,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000733,장소,관광지,7231206,곽지해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,애월읍,곽지리,1565,5011025337,5011025300,5.01105E+11,곽지1길,31,126.3047789,33.45068213,나나889960,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000734,장소,관광지,7231207,하모해수욕장,,,60501,해수욕장,5.01303E+18,제주특별자치도,서귀포시,대정읍,하모리,,5013025022,5013025000,,,,126.262038,33.21066657,나나846695,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000735,장소,관광지,7231208,이호테우해수욕장,,,60501,해수욕장,5.01101E+18,제주특별자치도,제주시,이호일동,,,5011012500,5011068000,,,,126.4530919,33.49797776,다다027011,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000736,장소,관광지,7231209,신양섭지해수욕장,,,60501,해수욕장,5.01303E+18,제주특별자치도,서귀포시,성산읍,고성리,186-2,5013025924,5013025900,5.01305E+11,신양로122번길,16,126.9232803,33.43484851,다나463938,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000739,장소,관광지,7231212,화순금모래해수욕장,,,60501,해수욕장,5.01303E+18,제주특별자치도,서귀포시,안덕면,화순리,,5013031021,5013031000,,,,126.3338204,33.24001852,나나913726,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000877,장소,관광지,7231365,검멀레해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,우도면,연평리,,5011033021,5011033000,,,,126.9670246,33.49740897,다다504007,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000883,장소,관광지,7231372,금능해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,한림읍,금능리,2316,5011025033,5011025000,,,,126.233978,33.38919776,나나822893,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000907,장소,관광지,7231399,세화해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,구좌읍,세화리,,5011025628,5011025600,,,,126.8609529,33.52491251,다다406038,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000931,장소,관광지,7231429,하고수동해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,우도면,연평리,,5011033021,5011033000,,,,126.9578391,33.51373416,다다496025,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000932,장소,관광지,7231430,하도해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,구좌읍,하도리,,5011025631,5011025600,,,,126.8987274,33.51324426,다다441025,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000937,장소,관광지,7231436,서빈백사해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,우도면,연평리,,5011033021,5011033000,,,,126.9429863,33.50253617,다다482013,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000954,장소,관광지,7231465,사계해안,,,60501,해수욕장,5.01303E+18,제주특별자치도,서귀포시,안덕면,사계리,,5013031025,5013031000,,,,126.2993176,33.22467949,나나881710,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001023,장소,관광지,7232845,통나무집관광단지,,,60514,유명관광지,5.01103E+18,제주특별자치도,제주시,조천읍,교래리,125,5011025929,5011025900,,,,126.7035273,33.43257333,다나259937,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
